Jx,Js,x,y,objective,feasibility,e1_abs,e2_abs,link_violation,card_violation,energy,n_vars,n_quad,solver
1,1,"[0.30000000000000004, 0.0, 0.4, 0.4]","[1, 0, 1, 1]",1.7200000000000002,0.10000000000000009,0.10000000000000009,1.7763568394002505e-15,0.0,0.0,6.719999999921129,46,385,neal
2,2,"[0.53, 0.01, 0.45000000000000007, 0.04]","[1, 0, 1, 1]",2.713000000000001,0.030000000000000027,0.030000000000000027,0.009999999999999787,0.01,0.0,3.262999999555177,78,1185,neal
3,3,"[0.3720000000000001, 0.003, 0.504, 0.135]","[1, 0, 1, 1]",2.7284940000000004,0.014000000000000234,0.014000000000000234,0.003999999999997783,0.003,0.0,2.8409940004494274,110,2433,neal
4,4,"[0.3860000000000001, 0.1598, 0.4546000000000001, 0.0024999999999999996]","[1, 1, 1, 0]",2.9802476000000016,0.0029000000000001247,0.0029000000000001247,0.0010999999999974364,0.0024999999999999996,0.0,2.988182601366134,142,4129,neal
5,4,"[0.3730000000000001, 0.0015999999999999999, 0.51, 0.1257]","[1, 0, 1, 1]",2.78228416,0.010299999999999976,0.010299999999999976,0.0016999999999995907,0.0015999999999999999,0.0,2.892554161735461,158,5625,neal
8,8,"[0.2639999999999999, 0.3133, 0.42030000000000006, 0.0034372499999999998]","[1, 1, 1, 0]",3.1719550200000004,0.0034372499999999998,0.0010372499999999896,0.0006392499999989809,0.0034372499999999998,0.0,3.1786046322085895,270,15393,neal
