x,y,objective,feasibility,e1_abs,e2_abs,link_violation,card_violation,energy,n_vars,n_quad,solver,iter,action
"[0.30000000000000004, 0.0, 0.4, 0.4]","[1, 0, 1, 1]",1.7200000000000002,0.10000000000000009,0.10000000000000009,1.7763568394002505e-15,0.0,0.0,6.7199999999356805,46,385,neal,0,baseline
"[0.26000000000000006, 0.020000000000000004, 0.46, 0.32]","[1, 0, 1, 1]",2.1992000000000007,0.06000000000000005,0.06000000000000005,0.02000000000000135,0.020000000000000004,0.0,4.399199999989833,46,385,neal,1,zoom_trial
