J1,J2,x1,x2,objective,energy,n_vars,n_quad,solver
2,2,0.12000000000000001,0.7700000000000001,3.28144853000016e-05,3.281448529929287e-05,18,72,neal
4,4,0.12350000000000001,0.7654000000000001,2.9052999999924134e-09,2.9052973360421674e-09,34,272,neal
6,6,0.12345700000000003,0.7654320000000001,9.999999998077112e-14,9.886536034287019e-14,50,600,neal
8,8,0.12345670000000002,0.7654321000000002,4.949639957075196e-32,-5.551115123125783e-16,66,1056,neal
