J1,J2,x1,x2,objective,energy,n_vars,n_quad,solver,iter,action
1,1,0.1,0.8,0.0017451564853001589,0.0017451564853002144,10,20,neal,0,baseline
1,1,0.12000000000000001,0.7600000000000001,4.1456485300073176e-05,4.14564853001044e-05,10,20,neal,1,accepted_zoom
1,1,0.12400000000000001,0.7640000000000001,2.3460853002532644e-06,2.346085300122293e-06,10,20,neal,2,accepted_zoom
1,1,0.1232,0.7656000000000001,9.408529999532789e-08,9.408530004435077e-08,10,20,neal,3,accepted_zoom
1,1,0.12352000000000002,0.7654400000000002,4.0693000080693764e-09,4.069300056427758e-09,10,20,neal,4,accepted_zoom_best
