Jx,Js,x,y,s,objective,feasibility,violation,residual,energy,n_vars,n_quad,solver
1,1,0.4,0,0.6,0.002500000000000044,0.0,0.0,0.0,0.0024999999999053557,11,55,neal
2,2,0.3500000000000001,0,0.6500000000000001,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,-3.552713678800501e-14,19,171,neal
4,4,0.3500000000000001,0,0.65,0.0,0.0,0.0,0.0,-3.552713678800501e-14,35,595,neal
