a,J,grid_size,max_abs_error,rmse,max_error_point,surrogate_at_max,true_at_max
0.6,1.0,11.0,1.1102230246251565e-16,5.021172554038838e-17,0.6,0.7360219228178334,0.7360219228178333
0.6,2.0,101.0,0.180553375376858,0.10947070387325102,0.99,1.1745413190385563,0.9939879436616983
0.6,3.0,1001.0,0.23437195366963415,0.13947465241652124,0.999,1.2337718336136005,0.9993998799439664
1.5,1.0,11.0,1.1102230246251565e-16,5.021172554038838e-17,0.6,0.4647580015448901,0.46475800154489
1.5,2.0,101.0,0.10422259449009119,0.042623506543928644,0.99,0.8808149682454626,0.9850375627355538
1.5,3.0,1001.0,0.11683159184881531,0.04677738492225123,0.999,0.8816687832137081,0.9985003750625234
