Jx,Js,x,y,objective,feasibility,e1_abs,e2_abs,link_violation,card_violation,energy,n_vars,n_quad,solver,lambda
1,1,"[0.30000000000000004, 0.0, 0.4, 0.4]","[1, 0, 1, 1]",1.7200000000000002,0.10000000000000009,0.10000000000000009,1.7763568394002505e-15,0.0,0.0,2.2200000000093496,46,385,neal,50.0
1,1,"[0.30000000000000004, 0.0, 0.4, 0.4]","[1, 0, 1, 1]",1.7200000000000002,0.10000000000000009,0.10000000000000009,1.7763568394002505e-15,0.0,0.0,2.7199999999756983,46,385,neal,100.0
1,1,"[0.5, 0.0, 0.5, 0.0]","[1, 0, 1, 0]",3.0,0.0,0.0,0.0,0.0,0.0,2.9999999998799467,46,385,neal,250.0
1,1,"[0.30000000000000004, 0.0, 0.4, 0.4]","[1, 0, 1, 1]",1.7200000000000002,0.10000000000000009,0.10000000000000009,1.7763568394002505e-15,0.0,0.0,6.7199999999356805,46,385,neal,500.0
1,1,"[0.0, 0.5, 0.4, 0.1]","[0, 1, 1, 1]",3.5,0.0,0.0,0.0,0.0,0.0,3.500000000145519,46,385,neal,1000.0
1,1,"[0.0, 0.5, 0.4, 0.1]","[0, 1, 1, 1]",3.5,0.0,0.0,0.0,0.0,0.0,3.500000000873115,46,385,neal,2500.0
1,1,"[0.0, 0.5, 0.4, 0.1]","[0, 1, 1, 1]",3.5,0.0,0.0,0.0,0.0,0.0,3.5000000006402843,46,385,neal,5000.0
